fitness	solution
65.4214285714286	29,7,30,34,39,2,4,37,10,27,6,35,13,11,21,16,39,29,9,17,16,3,28,20,42,44,31,41,36,35,42,33,30,31,24,20,1,33,16,23,6,28,40,17,6,28,11,39,25,21,7,25,14,44,5,36,15,2,41,6,10,12,31,24,18,8,13,5
67.20000000000003	18,7,43,34,39,2,6,26,10,27,6,10,13,39,19,22,34,22,19,4,16,42,28,11,42,4,13,41,36,35,3,33,30,31,39,20,1,11,6,23,37,28,40,25,7,19,11,4,25,16,37,24,14,44,19,30,6,2,31,35,29,23,31,24,18,8,27,5
66.95428571428572	29,38,27,34,36,2,6,43,10,27,6,6,17,4,27,36,39,22,30,13,16,11,23,20,42,30,44,41,12,35,42,33,13,31,3,8,1,33,6,23,37,4,40,17,6,36,11,37,25,21,44,25,14,20,27,30,15,2,3,6,29,23,43,17,33,8,10,5
72.6349206349206	29,43,34,34,39,2,6,37,4,43,6,6,13,19,27,36,27,2,30,13,24,42,28,20,26,15,44,41,36,20,3,39,23,31,22,20,1,32,6,15,37,4,40,41,7,37,11,4,25,21,37,25,14,20,27,13,26,16,31,6,10,12,43,17,18,8,10,5
74.61500000000001	18,7,30,34,39,2,6,43,10,37,7,15,17,4,27,36,34,29,9,38,24,11,28,20,42,30,44,30,16,20,3,41,13,15,24,20,41,11,4,23,37,4,33,41,6,28,2,4,25,16,37,24,41,25,21,30,6,2,41,35,29,12,15,16,33,7,27,7
61.16785714285716	29,7,30,34,39,30,4,37,10,27,6,10,17,24,27,36,39,22,19,13,16,42,23,42,4,30,44,41,36,4,8,33,13,15,22,40,1,28,6,23,6,4,33,41,27,28,41,19,25,16,37,24,14,20,5,30,6,16,3,35,10,23,36,16,40,8,27,7
70.51182539682537	29,7,43,32,39,30,33,37,10,27,6,15,17,39,27,44,27,22,9,13,24,3,2,20,42,15,13,41,16,4,8,41,13,31,39,20,1,28,16,23,37,4,33,17,6,28,11,14,25,21,37,25,6,44,5,36,6,16,41,29,10,23,43,24,18,8,10,5
56.4440476190476	29,7,30,34,7,30,4,43,10,43,6,6,17,24,27,36,27,11,1,13,16,42,23,31,42,30,38,41,16,35,3,33,23,9,22,20,1,28,6,37,37,4,33,25,6,37,41,4,25,16,37,24,14,44,27,13,15,2,41,14,10,23,15,24,33,8,27,5
60.54285714285713	14,7,27,34,39,2,4,37,10,27,6,15,17,11,21,16,27,11,30,17,24,42,28,20,42,44,44,41,36,35,3,39,34,31,22,20,1,33,6,3,35,4,34,41,7,28,11,39,20,21,44,24,14,44,27,36,6,16,31,6,9,12,15,16,18,8,27,5
71.42499999999998	29,43,27,34,30,30,4,43,4,27,6,15,13,24,19,36,34,29,9,17,16,42,23,42,4,44,38,30,36,20,3,38,13,31,22,20,1,28,16,37,37,4,40,41,27,28,11,39,12,21,37,24,6,44,19,30,6,28,3,6,10,31,15,24,18,8,10,5
55.71428571428571	29,7,30,32,39,30,4,37,10,27,6,15,17,4,27,36,27,22,9,13,16,42,23,20,39,30,31,41,12,35,42,3,13,15,24,40,41,14,6,23,37,4,34,41,7,37,41,4,25,21,37,24,14,25,27,30,6,2,31,6,10,23,15,29,16,8,13,5
54.91428571428571	29,7,30,10,39,2,6,26,23,43,6,15,13,24,19,36,27,22,30,17,11,11,28,42,4,44,38,41,16,35,8,33,23,15,39,31,1,33,16,23,37,28,33,41,6,28,41,39,12,16,37,24,14,20,27,30,6,2,31,6,10,12,43,24,18,8,27,5
55.69500000000002	41,7,30,32,39,2,4,26,10,27,16,15,17,24,27,36,18,11,9,13,24,42,28,42,4,30,31,41,12,35,3,33,13,31,22,20,1,28,6,21,37,4,34,41,6,28,11,4,25,21,37,19,14,44,19,23,15,2,31,6,9,23,43,29,18,8,10,43
63.492857142857176	18,43,27,34,36,11,6,43,10,43,7,6,17,24,27,36,27,36,19,13,24,42,28,42,4,30,31,30,36,20,3,3,23,15,39,40,33,11,6,23,6,4,33,25,6,37,41,39,20,21,37,24,14,44,27,30,15,2,31,29,10,8,15,29,18,17,10,5
