Iteration	Min	Max	Avg	Std	current_best
2	186.12420634920636	299.08664224664227	252.98645811133312	22.714825279649194	39,16,40,43,7,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,34,33,15,24,40,8,20,39
3	186.12420634920636	279.9769230769231	233.4257882992008	20.504122002693066	39,16,40,43,7,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,34,33,15,24,40,8,20,39
4	175.9515873015873	256.78217893217897	216.74090396825397	16.12737370905174	41,16,43,10,36,30,6,26,10,27,16,6,20,4,8,36,13,36,30,13,20,42,28,42,42,5,31,30,36,40,11,3,34,9,24,20,1,11,6,37,37,24,33,17,6,37,11,37,20,21,30,19,41,25,21,17,43,2,33,6,34,23,15,6,3,17,10,39
5	164.9024458874459	240.31186147186142	203.55586502525253	14.263304269416425	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,34,33,15,24,40,8,20,5
6	164.9024458874459	233.78626262626267	192.32083966450216	12.411314733252816	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,34,33,15,24,40,8,20,5
7	163.62055555555554	230.29642857142863	183.67294502164506	9.368806153243733	29,7,40,43,7,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,34,33,15,24,40,8,13,5
8	159.79322510822516	196.14920634920637	176.38295907287159	7.872223739844648	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,34,33,15,24,40,8,13,5
9	148.1202380952381	186.12420634920636	170.7953458874459	6.559488767528808	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
10	148.1202380952381	183.80420634920637	165.84241771284272	4.411718701852213	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
11	148.1202380952381	174.07698412698414	162.68449116161617	3.339543907094188	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
12	148.1202380952381	164.9024458874459	160.24837462121212	3.8712002462639834	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
13	148.1202380952381	164.9024458874459	156.9199040764791	4.110067922676293	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
14	141.91904761904766	159.79322510822516	153.01207242063495	4.302924132548167	18,38,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
15	141.42563492063493	159.79322510822516	149.37489853896105	3.066897562973065	18,38,27,43,7,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,9,33,15,24,40,8,20,5
16	139.72857142857143	153.73365079365078	147.07620039682544	2.4054712677811696	18,38,27,34,39,2,4,37,10,43,16,35,13,39,8,44,18,29,9,4,20,11,23,31,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
17	133.6416666666667	148.9635714285714	145.0634202380953	3.1384667081242608	18,38,27,43,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
18	133.227380952381	148.1202380952381	142.164191468254	3.2867369742653407	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,7,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
19	132.5079365079365	146.32857142857145	139.50252757936514	3.5245094802226604	29,7,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,36,19,6,44,13,36,17,38,33,29,15,33,15,24,40,8,13,5
20	132.5079365079365	141.91904761904766	136.73681190476196	3.5737538301437963	29,7,27,34,30,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,36,19,6,44,13,36,17,38,33,29,15,33,15,24,40,8,13,5
21	123.51500000000001	141.91904761904766	134.02837936507942	2.5148995487726635	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
22	123.51500000000001	138.82285714285715	132.5516642857143	1.9682276217980406	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
23	123.51500000000001	133.90000000000003	131.02738968253973	3.4716594385030075	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
24	123.51500000000001	133.227380952381	128.49730555555558	3.9867633231364343	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
25	123.51500000000001	132.90000000000003	125.44841289682542	3.1436051452622134	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
26	122.51500000000001	132.5079365079365	123.62839384920636	0.8279819578081825	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,10,5
27	122.51500000000001	123.51500000000001	123.50750000000004	0.08627716963368698	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,10,5
28	119.7257142857143	130.3111111111111	123.48063412698416	0.4724641599110748	18,38,27,34,39,2,4,26,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
29	119.7257142857143	123.51500000000001	123.37939484126986	0.5814372393088267	18,38,27,34,39,2,4,26,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
30	119.7257142857143	123.51500000000001	123.16738412698416	0.8249497372146134	18,38,27,34,39,2,4,26,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,33,29,29,33,15,24,40,8,13,5
31	119.51500000000001	123.51500000000001	122.59770932539686	1.2346277520200808	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,31,29,29,33,15,24,40,8,13,5
32	119.51500000000001	123.51500000000001	121.86246428571431	1.3595337788913917	18,38,27,34,39,2,4,37,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,31,29,29,33,15,24,40,8,13,5
33	115.7257142857143	122.51500000000001	120.79653849206352	1.4439858140434834	18,38,27,34,39,2,4,26,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,31,29,29,33,15,24,40,8,13,5
34	115.7257142857143	122.51500000000001	119.80848015873016	1.0182663652683464	18,38,27,34,39,2,4,26,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,31,29,29,33,15,24,40,8,13,5
35	115.7257142857143	119.7257142857143	119.26313750000001	1.0090084060560176	18,38,27,34,39,2,4,26,10,43,16,35,13,39,31,44,18,29,9,4,20,11,23,20,33,4,38,41,18,14,42,3,23,9,22,8,33,28,11,37,41,32,33,23,27,19,2,4,12,21,44,19,6,44,13,36,17,38,31,29,29,33,15,24,40,8,13,5
