fitness	solution
85.21785714285716	18,7,27,34,39,2,4,26,10,43,16,35,13,39,31,44,18,29,9,4,24,11,23,20,33,4,38,41,16,4,42,41,13,9,22,8,33,33,6,23,37,28,33,23,27,19,2,4,12,21,44,19,6,44,13,36,15,38,31,29,29,31,15,24,40,8,10,5
75.37499999999999	29,7,43,34,39,2,6,37,23,27,6,6,35,39,21,31,18,29,19,17,24,42,12,11,42,4,44,41,12,20,8,33,34,31,22,40,1,28,4,15,37,28,33,23,6,28,11,39,42,16,37,24,14,44,27,30,6,2,19,35,10,23,15,16,33,8,10,5
61.56785714285711	41,7,27,34,39,2,6,37,23,43,16,35,13,11,27,16,27,36,9,13,16,3,23,31,42,4,44,30,36,35,42,33,23,31,22,20,1,28,6,23,37,4,33,5,6,28,11,39,42,21,44,19,14,25,5,30,15,16,31,14,29,12,43,29,18,8,10,7
99.84642857142858	39,16,43,34,30,30,6,37,4,43,6,15,13,24,8,16,34,29,30,38,16,3,28,20,42,44,13,29,36,40,16,3,13,31,22,20,1,11,6,23,37,4,40,5,6,37,11,39,12,21,30,25,6,20,27,36,15,16,31,14,29,8,43,29,40,17,27,7
96.35142857142851	14,7,43,10,15,28,6,43,23,27,6,6,13,19,27,22,39,36,30,17,11,42,2,42,42,4,38,23,16,4,3,33,13,9,39,20,1,33,20,23,37,28,33,25,6,37,2,4,12,21,37,19,14,19,27,23,6,2,41,29,9,12,31,16,40,17,44,39
76.30714285714286	18,7,30,34,15,23,6,43,10,27,16,35,35,39,31,44,27,11,9,13,24,42,23,3,4,15,31,29,36,4,3,41,13,31,22,20,33,28,6,23,37,4,40,41,6,19,2,39,25,21,37,25,14,33,21,30,43,38,3,14,29,8,15,29,18,8,10,5
71.14166666666665	18,7,30,34,39,30,4,26,10,27,6,10,13,11,27,36,18,22,9,4,24,3,28,20,42,44,44,30,36,35,42,41,23,31,39,20,1,33,6,15,37,28,19,41,27,37,41,39,25,21,7,24,6,20,5,30,43,16,31,14,10,12,15,29,3,8,10,7
74.75714285714287	29,38,43,10,39,2,4,43,10,27,6,10,13,19,27,22,34,22,30,17,11,42,23,42,39,4,44,30,36,35,16,3,23,15,39,40,1,33,6,15,37,24,33,25,27,37,41,4,42,21,7,25,14,20,21,30,15,2,3,14,10,31,15,16,33,8,27,7
83.15214285714286	29,7,43,34,7,11,4,43,10,27,6,15,20,4,21,44,39,11,19,17,16,31,28,42,33,15,31,41,36,35,8,3,13,31,22,20,1,33,6,15,37,4,40,23,6,28,41,14,20,16,37,24,6,19,5,36,26,2,3,35,10,12,31,24,33,8,10,43
60.510714285714286	39,7,30,34,39,30,38,37,10,43,16,10,13,24,27,16,27,2,9,13,24,42,28,42,4,44,38,30,16,35,8,33,13,31,22,20,1,28,6,23,6,28,40,41,27,19,41,19,42,21,37,25,14,25,5,30,6,16,31,35,9,23,15,24,18,8,10,5
94.51785714285717	14,43,27,43,7,2,4,43,10,27,6,6,20,19,8,44,27,36,30,13,24,42,28,31,33,4,38,30,16,35,11,39,13,15,22,20,1,33,4,23,37,4,12,17,6,19,41,14,37,21,37,25,34,25,5,23,6,38,19,6,9,31,15,24,33,17,10,43
80.71785714285714	29,7,30,43,15,2,4,43,10,43,16,6,20,39,27,44,18,29,30,13,11,3,12,20,42,30,31,39,16,35,3,3,23,9,22,40,33,11,6,23,37,28,12,23,22,19,11,39,25,16,37,44,41,20,5,36,15,2,31,29,9,12,31,29,33,8,27,5
80.1809523809524	29,7,30,43,30,2,6,26,10,43,6,35,13,4,27,22,18,36,9,13,16,31,23,20,42,4,31,39,36,35,42,41,13,31,22,40,1,33,6,15,37,24,33,41,6,37,11,4,12,16,7,25,41,20,5,23,6,28,31,14,29,23,36,29,18,17,27,5
58.92785714285715	18,38,43,10,39,2,4,26,10,27,6,6,17,24,8,44,39,36,19,13,24,11,28,42,33,4,44,23,16,35,3,33,13,31,22,40,1,33,6,23,37,4,33,25,6,19,11,39,25,21,37,44,6,20,5,30,15,2,31,6,10,12,15,24,18,8,44,43
