Iteration	Min	Max	Avg	Std	current_best
1	230.92824675324675	384.2803921568627	288.1283027558097	34.52659656844723	29,16,27,10,7,30,21,8,40,43,42,6,14,19,31,16,39,22,30,32,16,3,28,3,26,44,38,41,36,4,3,39,22,23,3,33,1,11,4,23,37,28,34,23,19,17,2,14,25,19,36,27,34,33,13,30,6,38,31,6,9,12,43,24,33,17,44,7
2	221.50134920634923	333.6469696969698	277.4138312104562	33.56448391549446	29,16,34,10,15,30,21,8,40,43,42,6,14,19,31,31,39,22,9,32,11,3,28,31,26,30,38,41,18,4,16,39,22,23,31,33,1,11,4,21,37,28,34,25,19,17,41,14,20,19,36,27,34,33,13,30,6,28,3,6,9,12,36,24,33,17,10,43
3	197.18031746031744	344.0533333333334	276.7857787906538	31.612903807334437	14,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,1,4,32,3,28,31,4,44,44,41,36,20,3,38,23,31,3,40,41,14,4,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,21,30,17,28,31,35,15,8,31,29,18,8,10,5
4	197.18031746031744	316.5787301587302	271.7731149128649	27.17456525884196	14,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,1,4,32,3,28,31,4,44,44,41,36,20,3,38,23,31,3,40,41,14,4,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,21,30,17,28,31,35,15,8,31,29,18,8,10,5
5	197.18031746031744	338.8066666666666	282.07179174991677	32.22982258925577	14,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,1,4,32,3,28,31,4,44,44,41,36,20,3,38,23,31,3,40,41,14,4,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,21,30,17,28,31,35,15,8,31,29,18,8,10,5
6	197.18031746031744	355.84439393939397	271.55724199411696	32.134832645760966	14,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,1,4,32,3,28,31,4,44,44,41,36,20,3,38,23,31,3,40,41,14,4,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,21,30,17,28,31,35,15,8,31,29,18,8,10,5
7	197.18031746031744	347.34007326007327	265.2372645548895	28.009357125833752	14,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,1,4,32,3,28,31,4,44,44,41,36,20,3,38,23,31,3,40,41,14,4,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,21,30,17,28,31,35,15,8,31,29,18,8,10,5
8	197.18031746031744	325.4190476190476	269.55219505494506	28.490042096152404	14,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,1,4,32,3,28,31,4,44,44,41,36,20,3,38,23,31,3,40,41,14,4,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,21,30,17,28,31,35,15,8,31,29,18,8,10,5
9	197.18031746031744	322.7357575757576	261.8332668165168	27.106324030841407	14,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,1,4,32,3,28,31,4,44,44,41,36,20,3,38,23,31,3,40,41,14,4,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,21,30,17,28,31,35,15,8,31,29,18,8,10,5
10	197.18031746031744	330.47611721611725	260.1118914696414	35.32563975683646	14,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,1,4,32,3,28,31,4,44,44,41,36,20,3,38,23,31,3,40,41,14,4,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,21,30,17,28,31,35,15,8,31,29,18,8,10,5
11	190.3063492063492	325.1942857142857	260.35579047504785	33.2729500442949	29,38,27,32,39,23,38,8,23,27,6,6,13,19,27,16,34,22,15,4,32,3,28,31,4,44,44,39,36,20,42,38,23,31,22,40,41,14,20,23,18,24,40,41,7,19,3,37,12,23,7,19,34,19,27,30,17,28,31,35,15,8,31,6,18,8,10,5
